  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
   26.0 #       1246.4000491331649 #       35709.73525997214    # -9.70092978653023  # 1246.4000491331649
   26.1 #       1245.429956154512  #       35834.37526488546    # -9.700552283116215 # 1245.429956154512 
   26.2 #       1244.4599009262004 #       35958.918260500905   # -9.700175095528303 # 1244.4599009262004
   26.3 #       1243.4898834166474 #       36083.36425059353    # -9.699798223701935 # 1243.4898834166474
   26.4 #       1242.5199035942771 #       36207.71323893519    # -9.699421667572624 # 1242.5199035942771
   26.5 #       1241.54996142752   #       36331.96522929462    # -9.69904542707594  # 1241.54996142752  
   26.6 #       1240.5800568848124 #       36456.12022543737    # -9.698669502147514 # 1240.5800568848124
   26.7 #       1239.6101899345977 #       36580.17823112585    # -9.698293892723033 # 1239.6101899345977
   26.8 #       1238.6403605453254 #       36704.13925011931    # -9.69791859873825  # 1238.6403605453254
   26.9 #       1237.6705686854516 #       36828.003286173844   # -9.697543620128975 # 1237.6705686854516
   27.0 #       1236.7008143234386 #       36951.770343042386   # -9.697168956831083 # 1236.7008143234386
   27.1 #       1235.7310974277555 #       37075.44042447473    # -9.696794608780499 # 1235.7310974277555
   27.2 #       1234.7614179668774 #       37199.013534217505   # -9.696420575913221 # 1234.7614179668774
   27.3 #       1233.7917759092861 #       37322.48967601419    # -9.696046858165294 # 1233.7917759092861
   27.4 #       1232.8221712234697 #       37445.86885360512    # -9.695673455472836 # 1232.8221712234697
   27.5 #       1231.8526038779223 #       37569.151070727465   # -9.69530036777202  # 1231.8526038779223
   27.6 #       1230.883073841145  #       37692.33633111526    # -9.69492759499907  # 1230.883073841145 
   27.7 #       1229.9135810816451 #       37815.424638499375   # -9.694555137090287 # 1229.9135810816451
   27.8 #       1228.944125567936  #       37938.41599660754    # -9.69418299398202  # 1228.944125567936 
   27.9 #       1227.9747072685377 #       38061.31040916433    # -9.693811165610681 # 1227.9747072685377
   28.0 #       1227.0053261519765 #       38184.107879891184   # -9.69343965191274  # 1227.0053261519765
   28.1 #       1226.0359821867853 #       38306.80841250638    # -9.693068452824736 # 1226.0359821867853
   28.2 #       1225.0666753415028 #       38429.412010725064   # -9.692697568283254 # 1225.0666753415028
   28.3 #       1224.0974055846746 #       38551.918678259215   # -9.69232699822495  # 1224.0974055846746
   28.4 #       1223.1281728848521 #       38674.328418817684   # -9.691956742586537 # 1223.1281728848521
   28.5 #       1222.1589772105935 #       38796.64123610617    # -9.691586801304783 # 1222.1589772105935
   28.6 #       1221.189818530463  #       38918.85713382722    # -9.691217174316524 # 1221.189818530463 
   28.7 #       1220.2206968130315 #       39040.97611568027    # -9.690847861558648 # 1220.2206968130315
   28.8 #       1219.2516120268756 #       39162.998185361575   # -9.69047886296811  # 1219.2516120268756
   28.9 #       1218.2825641405789 #       39284.92334656426    # -9.690110178481918 # 1218.2825641405789
   29.0 #       1217.3135531227306 #       39406.75160297832    # -9.689741808037143 # 1217.3135531227306
   29.1 #       1216.3445789419268 #       39528.482958290595   # -9.689373751570914 # 1216.3445789419268
   29.2 #       1215.3756415667697 #       39650.11741618479    # -9.689006009020428 # 1215.3756415667697
